[03/02/19, 03.06.20] Bryan Widjaja: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[03/02/19, 03.06.20] Bryan Widjaja: ‎Bryan changed their phone number. You're currently chatting with their new number
[27/07/23, 01.13.46] Bryan Widjaja: Yo whats good man this is bryan
[27/07/23, 01.13.49] Bryan Widjaja: Lu lg di redmond?
[27/07/23, 01.55.04] Matthew Taruno: Yup I live in Bellevue currently
[27/07/23, 01.55.09] Matthew Taruno: Belred
[27/07/23, 01.55.28] Matthew Taruno: Lu kerja di one esterra ya
[27/07/23, 01.56.00] Matthew Taruno: Snooped your ID details from teams HAHAHA
[27/07/23, 01.57.07] Bryan Widjaja: HAHAHA
[27/07/23, 01.57.27] Bryan Widjaja: Lu di bellevue ngapain?
[27/07/23, 01.57.33] Bryan Widjaja: And if youre free next week lets hang?
[27/07/23, 01.59.17] Matthew Taruno: My gf lives here and is a microsoft PM
[27/07/23, 01.59.27] Matthew Taruno: Visiting doang sebulan
[27/07/23, 01.59.46] Matthew Taruno: Tahun depan gw si UW jg buat masters hahaha
[27/07/23, 02.00.08] Matthew Taruno: Yuks! Let me know lu enaknya kapan
[27/07/23, 02.04.37] Bryan Widjaja: Lmao i was wondering how you snooped my id on teams this makes sense haha
[27/07/23, 02.04.53] Bryan Widjaja: Oh thats sick man!! Lu skrng tinggal di indo ya?
[27/07/23, 02.05.13] Bryan Widjaja: Next tuesday gmn?
[27/07/23, 02.07.28] Matthew Taruno: Been working in indo for the past 1.5 years hahaha
[27/07/23, 02.07.55] Matthew Taruno: Skrg mau mulai new chapter wkwk
[27/07/23, 02.07.57] Matthew Taruno: Season 3 lmao
[27/07/23, 02.08.26] Matthew Taruno: Okie. Is there anything u usually like to do bro?
[27/07/23, 02.08.35] Matthew Taruno: Volleyball, Pickleball, climbing, etc?
[27/07/23, 02.34.44] Bryan Widjaja: Nice dude congrats im super excited for you! New chapters are always fun
[27/07/23, 02.35.07] Bryan Widjaja: Mantep sih masih season 3 this is when things start getting good usually
[27/07/23, 02.35.44] Bryan Widjaja: Yes volleyball climbing boxing soccer
[27/07/23, 02.35.49] Bryan Widjaja: Anything sports related im down
[27/07/23, 06.17.49] Matthew Taruno: Appreciate it man! Definitely is
[27/07/23, 06.18.30] Matthew Taruno: Aytt let me try and think of something and get back to you later
[27/07/23, 06.39.21] Matthew Taruno: Where do you live bro?
[27/07/23, 15.47.30] Bryan Widjaja: Sounds good if not we can also jst go get food or smthn
[27/07/23, 15.47.35] Bryan Widjaja: I live in bellevue lol
[28/07/23, 02.53.33] Matthew Taruno: Ah okay that’s perfect lol
[28/07/23, 02.53.39] Matthew Taruno: https://maps.app.goo.gl/Pf6S3ohqJ6P22fg7A?g_st=iw
[28/07/23, 02.54.15] Matthew Taruno: Down to go paddle boarding on Tues after work?
[28/07/23, 02.54.21] Matthew Taruno: We can grab dinner nearby after
[28/07/23, 14.14.04] Bryan Widjaja: Dude i fuckin love this park
[28/07/23, 14.14.12] Bryan Widjaja: If not Tuesday Wednesday boleh jg sih
[28/07/23, 14.14.22] Bryan Widjaja: Will lyk ya i might have something tuesday:(
[28/07/23, 14.14.23] Bryan Widjaja: Down
[29/07/23, 07.26.45] Matthew Taruno: Hahaha it’s such a good park
[29/07/23, 07.27.13] Matthew Taruno: Alright let me know bro, paddle board nya harus gw book
[29/07/23, 07.28.04] Matthew Taruno: https://bellevuewa.gov/city-news/peddle-boarding-meydenbauer-bay-park
[29/07/23, 07.28.23] Matthew Taruno: I saw a few guys use this kmrn, it was insane
[29/07/23, 07.28.51] Matthew Taruno: But it’s prolly way too much for us to start with HAHAHA I’m just sharing
[31/07/23, 08.42.54] Bryan Widjaja: HAHAHA bro thats insane wht even is that😂
[31/07/23, 08.43.04] Bryan Widjaja: keren sih dude im down for whatever that looks cool
[31/07/23, 08.43.14] Bryan Widjaja: I dont mind anything a normal one jg ok kok
[31/07/23, 08.43.19] Bryan Widjaja: ‎This message was deleted.
[31/07/23, 08.44.22] Bryan Widjaja: Actually sorry thursday?
[31/07/23, 08.45.18] Matthew Taruno: Wah
[31/07/23, 08.45.25] Matthew Taruno: Kalo thurs gw udh ke LA bro
[31/07/23, 08.45.30] Bryan Widjaja: Oh shit
[31/07/23, 08.45.35] Matthew Taruno: Harus before
[31/07/23, 08.45.35] Bryan Widjaja: Ok wednesday?
[31/07/23, 08.45.40] Matthew Taruno: Yup that works!
[31/07/23, 08.45.55] Matthew Taruno: Siap2 gw booking ya
[31/07/23, 08.46.01] Matthew Taruno: Jam brp lu enak nya kalo wed?
[31/07/23, 08.46.28] Bryan Widjaja: Perfect mann
[31/07/23, 08.46.32] Bryan Widjaja: Let me know what time n all ya
[31/07/23, 08.51.51] Matthew Taruno: Aytt gotcha
[31/07/23, 08.55.44] Bryan Widjaja: Anytime after 5 bisa sih
[31/07/23, 08.55.56] Bryan Widjaja: Since i live closeby anytime around 5 hrusnya busa
‎[31/07/23, 09.05.00] Matthew Taruno: ‎sticker omitted
[01/08/23, 04.12.00] Matthew Taruno: Do u have a car bro?
[01/08/23, 04.27.55] Bryan Widjaja: Yee i can grab you if needed
[01/08/23, 04.48.43] Matthew Taruno: https://maps.app.goo.gl/FafvwjJbybWQooqC7?g_st=iw
[01/08/23, 04.49.08] Matthew Taruno: Aww man, the rentals are only on Thursday onward
[01/08/23, 04.49.21] Matthew Taruno: Not available on wed :(
[01/08/23, 04.49.43] Matthew Taruno: Maybe u wanna try this?
[01/08/23, 04.50.56] Matthew Taruno: Also, do u mind if my gf comes as well?
[01/08/23, 05.28.39] Bryan Widjaja: LMAOO boleh juga iv been its pretty funny lol
[01/08/23, 05.28.46] Bryan Widjaja: Kyk arcade gtu lucu jg sih
[01/08/23, 05.29.02] Bryan Widjaja: Dude of course not, pls bring her!
[01/08/23, 05.29.11] Bryan Widjaja: Where is she from?
[01/08/23, 05.40.49] Matthew Taruno: Wkwkwk oke deh
[01/08/23, 05.41.00] Matthew Taruno: Ayttt
[01/08/23, 05.41.44] Matthew Taruno: Shes ABC grew up in Texas hahaha
[01/08/23, 15.23.19] Bryan Widjaja: Ohh nicee man abis itu makan boleh sih
[01/08/23, 15.23.26] Bryan Widjaja: Oh very cool ktemu di college?
[02/08/23, 00.03.07] Matthew Taruno: Siap bos
[02/08/23, 00.03.27] Matthew Taruno: Bingo hahaha
[02/08/23, 09.21.10] Bryan Widjaja: Do you want me to pick you up?
[02/08/23, 09.21.13] Bryan Widjaja: If so where
[02/08/23, 11.35.17] Matthew Taruno: No worry bro, we got a car
[02/08/23, 11.35.31] Matthew Taruno: Let’s meet there at 18:30?
[02/08/23, 14.17.19] Bryan Widjaja: Bet bet see you there
[03/08/23, 01.48.55] Matthew Taruno: Yup see ya!
[03/08/23, 08.54.50] Matthew Taruno: Bro we’re currently returning stuff at Bellevue square mall, ETA is 18:45-19:00
[03/08/23, 08.57.51] Bryan Widjaja: All good all good mann
[03/08/23, 09.19.26] Matthew Taruno: ‎You deleted this message.
[03/08/23, 09.19.32] Matthew Taruno: ‎You deleted this message.
[03/08/23, 09.38.22] Bryan Widjaja: Eta 650 y
[03/08/23, 09.40.42] Matthew Taruno: Aytt
[03/08/23, 09.54.46] Matthew Taruno: Lining up
[03/08/23, 12.00.29] Matthew Taruno: Parking all good ?
[03/08/23, 12.01.54] Bryan Widjaja: Yes yes come in
[03/08/23, 12.01.56] Bryan Widjaja: Im sitting
[03/08/23, 12.02.43] Matthew Taruno: Damn ure fast
[03/08/23, 12.02.47] Matthew Taruno: Be right there
[03/08/23, 12.03.12] Bryan Widjaja: Lmaoo take your time man no rush at all
‎[03/08/23, 14.19.52] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.52] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.53] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.53] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.54] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.54] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.55] Matthew Taruno: ‎video omitted
‎[03/08/23, 14.19.55] Matthew Taruno: ‎video omitted
‎[03/08/23, 14.19.56] Matthew Taruno: ‎image omitted
‎[03/08/23, 14.19.56] Matthew Taruno: ‎video omitted
‎[03/08/23, 14.19.57] Matthew Taruno: ‎video omitted
[03/08/23, 14.20.46] Matthew Taruno: I had fun catching up and hanging out! Hope you’re back home safely
[03/08/23, 14.55.05] Bryan Widjaja: Likewise man!! Safe flight ya besok ke LA
[03/08/23, 14.55.36] Bryan Widjaja: And grace is lovely as well!! Good pick for sure man goodjob
[03/08/23, 14.55.49] Bryan Widjaja: Lmk when you’re back we’ll hang w bennett too!!
[03/08/23, 18.47.33] Matthew Taruno: Thanks bro!!
[03/08/23, 18.47.46] Matthew Taruno: Definitely
[07/08/23, 02.55.04] Matthew Taruno: Do u have zelle bro?
[07/08/23, 02.57.05] Matthew Taruno: +14695837982
$45
Grace Zheng
(Golf + Arcade + Dinner)
[07/08/23, 22.21.07] Bryan Widjaja: Does she have venmo instead?
[07/08/23, 23.52.38] Matthew Taruno: ‎You deleted this message.
[07/08/23, 23.52.57] Matthew Taruno: Yup!
[07/08/23, 23.53.06] Matthew Taruno: gzheng77
[09/08/23, 03.19.08] Matthew Taruno: Hey bro, I’m back in Bellevue!
[09/08/23, 03.20.12] Matthew Taruno: I’m free most of the time :) my work can revolve around your schedule lol
[10/08/23, 01.49.07] Bryan Widjaja: Just paid!
[10/08/23, 01.49.20] Bryan Widjaja: Sorry lama jawab its been a very hectic few days
[10/08/23, 01.49.37] Bryan Widjaja: Later today some friends and i might do kickball if youre down?
[10/08/23, 01.49.44] Bryan Widjaja: Then klo mau we can get dinner bennet?
[10/08/23, 02.12.48] Matthew Taruno: She got it thanks!
[10/08/23, 02.13.08] Matthew Taruno: No worries :)
[10/08/23, 02.13.40] Matthew Taruno: Oh Im super down for that man
[10/08/23, 02.13.57] Matthew Taruno: What time?
[10/08/23, 02.25.07] Matthew Taruno: Also, is there a particular location for that?
[10/08/23, 05.44.08] Bryan Widjaja: Its at 6!
[10/08/23, 05.44.13] Bryan Widjaja: Montlake playfield park
[10/08/23, 05.44.43] Bryan Widjaja: Montlake playfield park
[10/08/23, 05.44.46] Bryan Widjaja: Wanna jalan bareng aj?
[10/08/23, 05.52.47] Matthew Taruno: Ah okay!
[10/08/23, 05.53.07] Matthew Taruno: What time u planning to head out from your place?
[10/08/23, 06.13.16] Bryan Widjaja: Around 5-530
[10/08/23, 06.13.40] Bryan Widjaja: Would tht work?
[10/08/23, 06.14.05] Bryan Widjaja: 520 kyknya jalan deh
[10/08/23, 06.53.27] Matthew Taruno: Ayttt
[10/08/23, 06.53.37] Matthew Taruno: Meet you at your place? May I have your addy?
[10/08/23, 06.55.41] Bryan Widjaja: Yee come thru
[10/08/23, 06.55.47] Bryan Widjaja: 411 145th ave ne
[10/08/23, 06.55.52] Bryan Widjaja: Lmk when youre abt to leave tho
[10/08/23, 06.56.03] Bryan Widjaja: So i can get ready n all
[10/08/23, 07.13.12] Matthew Taruno: Alrighty sounds good
[10/08/23, 07.13.39] Matthew Taruno: Might come a bit earlier
[10/08/23, 07.13.51] Matthew Taruno: Currently at building 17
